#Timezone,Latitude,Longitude
Africa/Abidjan,8.61689946887,-6.26977780657
Africa/Accra,8.89005018124,-0.336278626548
Africa/Addis_Ababa,8.87528666248,35.8491583414
Africa/Algiers,31.3958046072,2.3264157019
Africa/Asmara,14.6556382136,39.2398439323
Africa/Bamako,13.2893577425,-7.9953220598
Africa/Bangui,6.01834616567,22.1007578502
Africa/Banjul,13.3512036805,-15.5426546612
Africa/Bissau,11.9373132,-13.9502442164
Africa/Blantyre,-12.7282420346,34.6065545578
Africa/Brazzaville,-1.46441036692,14.0587856481
Africa/Bujumbura,-3.37079137214,30.0147140085
Africa/Cairo,27.082243714,32.199104737
Africa/Casablanca,33.745891493,-3.4296836979
Africa/Ceuta,35.3442706347,-3.68797636759
Africa/Conakry,10.2313364998,-10.5091386245
Africa/Dakar,13.9629636555,-13.1863108263
Africa/Dar_es_Salaam,-7.37848402896,33.3777461609
Africa/Djibouti,12.0169927967,42.6662074761
Africa/Douala,7.72784386716,12.5870266663
Africa/El_Aaiun,23.2954459242,-13.6554021117
Africa/Freetown,8.58750419567,-11.2781426035
Africa/Gaborone,-21.8835837881,24.9605760188
Africa/Harare,-19.7665331397,29.8067718018
Africa/Johannesburg,-34.347261358,29.4320609178
Africa/Juba,7.1708295472,30.9907167358
Africa/Kampala,-0.254311504237,31.3779318407
Africa/Khartoum,11.5418110303,27.0082953311
Africa/Kigali,-1.9466250614,29.9470776867
Africa/Kinshasa,-4.50531887355,18.0825838237
Africa/Lagos,10.2583751245,10.9536742911
Africa/Libreville,0.356384701919,12.9695743139
Africa/Lome,8.88210842809,0.497917897487
Africa/Luanda,-7.69490835777,16.4577629944
Africa/Lubumbashi,-2.41099609515,26.739163899
Africa/Lusaka,-12.2055510319,26.4895602316
Africa/Malabo,1.27392365993,8.01625533998
Africa/Maputo,-15.2195178508,35.2161685488
Africa/Maseru,-29.3829108521,28.3339995931
Africa/Mbabane,-26.7395267554,31.2844063007
Africa/Mogadishu,7.08189193543,46.3108868286
Africa/Monrovia,7.3310534768,-9.19203027851
Africa/Nairobi,1.30809443035,35.1742661862
Africa/Ndjamena,10.9760448803,18.219868397
Africa/Niamey,13.7509684604,11.1474996461
Africa/Nouakchott,16.5042682525,-12.8173821578
Africa/Ouagadougou,11.1447112161,-2.01099051995
Africa/Porto-Novo,10.2100672977,1.8767983885
Africa/Sao_Tome,0.789776608696,6.90805865217
Africa/Tripoli,26.7802426935,17.4774610641
Africa/Tunis,35.3455355619,8.74824649137
Africa/Windhoek,-24.2841927676,19.3110877474
America/Adak,52.2117866046,25.8485557864
America/Anchorage,58.120496145,-153.253511445
America/Anguilla,18.4499114545,-63.2145837143
America/Antigua,17.1839685206,-62.0678709943
America/Aruba,12.5852128529,-69.9726071289
America/Araguaina,-11.4603493552,-48.3208975002
America/Argentina/Buenos_Aires,-34.9751187492,-59.0464984877
America/Argentina/Catamarca,-36.0160442482,-69.1627794598
America/Argentina/Cordoba,-28.0022374714,-57.4934975142
America/Argentina/Jujuy,-23.4253840534,-65.4243794561
America/Argentina/La_Rioja,-29.0665563701,-68.143391638
America/Argentina/Mendoza,-33.4094296754,-68.3536189361
America/Argentina/Rio_Gallegos,-49.2973211196,-72.1749591257
America/Argentina/Salta,-30.9016622644,-67.9361467637
America/Argentina/San_Juan,-31.3587559229,-69.7420043424
America/Argentina/San_Luis,-33.4341090266,-66.5415813013
America/Argentina/Tucuman,-26.5325582378,-65.267173174
America/Argentina/Ushuaia,-54.323390261,-66.3673550419
America/Asuncion,-24.0259666456,-57.5128858753
America/Atikokan,59.3990136844,-86.3952028331
