0|Abbot|Crater, craters
0|Abel|Crater, craters
0|Tiling|Crater, craters
0|Abenezra|Crater, craters
0|Perepelkin P|Satellite Feature
0|Ryder|Crater, craters
0|Bi Sheng|Crater, craters
0|Cai Lun|Crater, craters
0|Zhang Yuzhe|Crater, craters
0|Abbe|Crater, craters
0|Abetti|Crater, craters
0|Abul Wafa|Crater, craters
0|Abulfeda|Crater, craters
0|Acosta|Crater, craters
0|Adams|Crater, craters
0|Agatharchides|Crater, craters
0|Agrippa|Crater, craters
0|Airy|Crater, craters
0|Aitken|Crater, craters
0|Akis|Crater, craters
0|Al Bakri|Crater, craters
0|Al Biruni|Crater, craters
0|Al Khwarizmi|Crater, craters
0|Al Marrakushi|Crater, craters
0|Alan|Crater, craters
1|Albategnius|Crater, craters|1
0|Alden|Crater, craters
0|Alder|Crater, craters
0|Aldrin|Crater, craters
0|Alekhin|Crater, craters
0|Alexander|Crater, craters
0|Alfraganus|Crater, craters
0|Alhazen|Crater, craters
0|Aliacensis|Crater, craters
0|Almanon|Crater, craters
0|Aloha|Crater, craters
2|Alpetragius|Crater, craters
1|Alphonsus|Crater, craters|1
0|Alter|Crater, craters
0|Ameghino|Crater, craters
0|Amici|Crater, craters
0|Ammonius|Crater, craters
0|Amontons|Crater, craters
0|Amundsen|Crater, craters
0|Anaxagoras|Crater, craters
0|Anaximander|Crater, craters
0|Anaximenes|Crater, craters
0|Anders|Crater, craters
0|Anderson|Crater, craters
0|Andersson|Crater, craters
0|Andronov|Crater, craters
0|Andel|Crater, craters
0|Ango|Crater, craters
0|Angstrom|Crater, craters
0|Ann|Crater, craters
0|Annegrit|Crater, craters
0|Ansgarius|Crater, craters
0|Antoniadi|Crater, craters
0|Anuchin|Crater, craters
0|Anville|Crater, craters
0|Apianus|Crater, craters
0|Apollo|Crater, craters
0|Apollonius|Crater, craters
0|Appleton|Crater, craters
2|Arago|Crater, craters
0|Aratus|Crater, craters
1|Archimedes|Crater, craters|1
0|Archytas|Crater, craters
0|Argelander|Crater, craters
0|Ariadaeus|Crater, craters
3|Aristarchus|Crater, craters|1
1|Aristillus|Crater, craters|1
1|Aristoteles|Crater, craters|1
0|Arminski|Crater, craters
0|Armstrong|Crater, craters
0|Arnold|Crater, craters
0|Arrhenius|Crater, craters
0|Artamonov|Crater, craters
0|Artemis|Crater, craters
0|Artem ev|Crater, craters
0|Artsimovich|Crater, craters
0|Aryabhata|Crater, craters
1|Arzachel|Crater, craters|1
0|Asada|Crater, craters
0|Asclepi|Crater, craters
0|Ashbrook|Crater, craters
0|Aston|Crater, craters
1|Atlas|Crater, craters|1
0|Atwood|Crater, craters
1|Autolycus|Crater, craters|1
0|Auwers|Crater, craters
0|Auzout|Crater, craters
0|Avery|Crater, craters
0|Avicenna|Crater, craters
0|Avogadro|Crater, craters
0|Azophi|Crater, craters
0|Baade|Crater, craters
0|Babakin|Crater, craters
0|Babbage|Crater, craters
0|Babcock|Crater, craters
0|Back|Crater, craters
0|Backlund|Crater, craters
2|Baco|Crater, craters
0|Baillaud|Crater, craters
2|Bailly|Crater, craters
0|Baily|Crater, craters
0|Balandin|Crater, craters
0|Balboa|Crater, craters
0|Baldet|Crater, craters
0|Ball|Crater, craters
0|Balmer|Crater, craters
0|Banachiewicz|Crater, craters
0|Bancroft|Crater, craters
0|Banting|Crater, craters
0|Barbier|Crater, craters
0|Barkla|Crater, craters
0|Barnard|Crater, craters
0|Barocius|Crater, craters
0|Barringer|Crater, craters
0|Barrow|Crater, craters
0|Bartels|Crater, craters
0|Bawa|Crater, craters
0|Bayer|Crater, craters
0|Beals|Crater, craters
0|Bear Mountain|Landing site name
0|Beaumont|Crater, craters
0|Becquerel|Crater, craters
2|Beer|Crater, craters
0|Behaim|Crater, craters
0|Beijerinck|Crater, craters
0|Beketov|Crater, craters
0|Bell|Crater, craters
0|Bellinsgauzen  Bellingshausen|Crater, craters
0|Bellot|Crater, craters
0|Belopol skiy|Crater, craters
0|Belyaev|Crater, craters
0|Bel kovich|Crater, craters
0|Bench|Landing site name
0|Benedict|Crater, craters
0|Bergman|Crater, craters
0|Bergstrand|Crater, craters
0|Berkner|Crater, craters
0|Berlage|Crater, craters
0|Bernoulli|Crater, craters
0|Berosus|Crater, craters
0|Berzelius|Crater, craters
0|Bessarion|Crater, craters
0|Bessel|Crater, craters
0|Bettinus|Crater, craters
0|Becvar|Crater, craters
0|Bhabha|Crater, craters
0|Bianchini|Crater, craters
0|Biela|Crater, craters
0|Bilharz|Crater, craters
1|Billy|Crater, craters|2
0|Bingham|Crater, craters
0|Biot|Crater, craters
0|Birkeland|Crater, craters
0|Birkhoff|Crater, craters
0|Birmingham|Crater, craters
0|Birt|Crater, craters
0|Bjerknes|Crater, craters
0|Black|Crater, craters
0|Blackett|Crater, craters
0|Blagg|Crater, craters
0|Blancanus|Crater, craters
0|Blanchard|Crater, craters
0|Blanchinus|Crater, craters
0|Blazhko|Crater, craters
0|Bliss|Crater, craters
0|Bobillier|Crater, craters
0|Bobone|Crater, craters
0|Bode|Crater, craters
0|Boethius|Crater, craters
0|Boguslawsky|Crater, craters
0|Bohnenberger|Crater, craters
0|Bohr|Crater, craters
0|Bok|Crater, craters
0|Boltzmann|Crater, craters
0|Bolyai|Crater, craters
0|Bombelli|Crater, craters
0|Bondarenko|Crater, craters
0|Bonpland|Crater, craters
0|Boole|Crater, craters
0|Borda|Crater, craters
0|Borel|Crater, craters
0|Boris|Crater, craters
0|Borman|Crater, craters
0|Born|Crater, craters
0|Boscovich|Crater, craters
0|Bose|Crater, craters
0|Boss|Crater, craters
0|Bouguer|Crater, craters
0|Boussingault|Crater, craters
0|Bowditch|Crater, craters
0|Bowen|Crater, craters
0|Boyle|Crater, craters
0|Brackett|Crater, craters
0|Bragg|Crater, craters
0|Brashear|Crater, craters
